247,Rivals,
School:  Pittsburgh Year:  2012 Name:  Trenton Coles Position:  WR City:  Clairton State:  PA Height:  75 Weight:  175 Stars:  3,School:  Navy Year:  2012 Name:  DaSean Daniels Position:  ATH City:  Norcross State:  GA Height:  71 Weight:  215 Stars:  2,
School:  UCLA Year:  2012 Name:  Taylor Lagace Position:  S City:  Arcadia State:  CA Height:  72 Weight:  200 Stars:  3,School:  Navy Year:  2012 Name:  Josiah Powell Position:  LB City:  Madisonville State:  KY Height:  75 Weight:  200 Stars:  0,
School:  Kentucky Year:  2012 Name:  Zach Myers Position:  OG City:  Miamisburg State:  OH Height:  75 Weight:  287 Stars:  3,School:  Navy Year:  2012 Name:  Nathan Hoff Position:  DT City:  Solon State:  OH Height:  74 Weight:  285 Stars:  2,
School:  NC State Year:  2012 Name:  Desmond Owino Position:  SDE City:  Raleigh State:  NC Height:  77 Weight:  235 Stars:  3,School:  Navy Year:  2012 Name:  Brendon Clements Position:  DB City:  Miami State:  FL Height:  70 Weight:  175 Stars:  2,
School:  None Year:  2012 Name:  Stephon Hall Position:  SDE City:  Detroit State:  MI Height:  75 Weight:  260 Stars:  3,School:  Navy Year:  2012 Name:  Kenneth Mouton Position:  QB City:  Naples State:  FL Height:  74 Weight:  200 Stars:  2,
School:  Duke Year:  2012 Name:  Anthony Nash Position:  WR City:  West Chester State:  PA Height:  77 Weight:  175 Stars:  3,School:  Navy Year:  2012 Name:  Austin Grebe Position:  K City:  Stafford State:  VA Height:  71 Weight:  185 Stars:  0,
School:  None Year:  2012 Name:  Ashton Henderson Position:  DT City:  Tulsa State:  OK Height:  74 Weight:  310 Stars:  3,School:  Navy Year:  2012 Name:  Robert Dusz Position:  OL City:  Scottsdale State:  AZ Height:  72 Weight:  280 Stars:  2,
School:  Mississippi State Year:  2012 Name:  Kivon Coman Position:  ATH City:  Florence State:  AL Height:  73 Weight:  185 Stars:  3,School:  Navy Year:  2012 Name:  Toneo Gulley Position:  RB City:  Kenosha State:  WI Height:  68 Weight:  185 Stars:  3,
School:  BYU Year:  2012 Name:  Jamaal Williams Position:  APB City:  Fontana State:  CA Height:  73 Weight:  185 Stars:  3,School:  North Carolina State Year:  2012 Name:  Robert Caldwell Position:  LB City:  Palm Desert State:  CA Height:  75 Weight:  245 Stars:  3,
School:  Portland State Year:  2012 Name:  Daniel Halverson Position:  OLB City:  Portland State:  OR Height:  74 Weight:  232 Stars:  3,School:  North Carolina State Year:  2012 Name:  Drew Davis Position:  LB City:  Raleigh State:  NC Height:  75 Weight:  240 Stars:  2,
School:  Purdue Year:  2012 Name:  Jimmy Herman Position:  S City:  Carmel State:  IN Height:  76 Weight:  205 Stars:  3,School:  North Carolina State Year:  2012 Name:  Kenderius Whitehead Position:  DE City:  Lithonia State:  GA Height:  77 Weight:  210 Stars:  3,
